m3u_name,provider_id,matched_epg_channel_id,epg_display_names,match_strategy,uses_placeholder_epg
TV3 Puls DK,21226,tv3puls.dk,TV3 Puls FHD DK,"norm match (multi, chose dk)",
TV3 Puls HD DK,8174,tv3puls.dk,TV3 Puls FHD DK,"norm match (multi, chose dk)",
TV3 Puls FHD DK,51803,tv3puls.dk,TV3 Puls FHD DK,"norm match (multi, chose dk)",
TV3 Sport DK,35184,tv3sport.dk,TV3 Sport FHD DK,"norm match (multi, chose dk)",
TV3 Sport HD DK,45534,tv3sport.dk,TV3 Sport FHD DK,"norm match (multi, chose dk)",
TV3 Sport FHD DK,51802,tv3sport.dk,TV3 Sport FHD DK,"norm match (multi, chose dk)",
TV3 Max DK,35185,tv3max.dk,TV3 Max HD DK,"norm match (multi, chose dk)",
TV3 Max HD DK,1238623,tv3max.dk,TV3 Max HD DK,"norm match (multi, chose dk)",
TV3 Max FHD DK,45535,tv3max.dk,TV3 Max HD DK,"norm match (multi, chose dk)",
Fuel TV DK,86905,,,no match,yes
Outdoor Channel HD DK,86902,outdoorchannel.se,Outdoor Channel HD DK,exact norm match,
TV Marineret FHD DK,30430,,,no match,yes
DK 4 DK,8191,dk4.dk,DK 4 FHD DK,"norm match (multi, chose dk)",
DK 4 FHD DK,1238621,dk4.dk,DK 4 FHD DK,"norm match (multi, chose dk)",
DK 4 HD DK,97231,dk4.dk,DK 4 FHD DK,"norm match (multi, chose dk)",
Kanal 4 DK,86895,kanal4.dk,Kanal 4 DK,"norm match (multi, chose dk)",
Kanal 4 HD DK,23804,kanal4.dk,Kanal 4 DK,"norm match (multi, chose dk)",
Kanal 4 FHD DK,14109,kanal4.dk,Kanal 4 DK,"norm match (multi, chose dk)",
Kanal 5 DK,86896,kanal5.dk,Kanal 5 DK,"norm match (multi, chose dk)",
Kanal 5 HD DK,35367,kanal5.dk,Kanal 5 DK,"norm match (multi, chose dk)",
Kanal 5 FHD DK,8144,kanal5.dk,Kanal 5 DK,"norm match (multi, chose dk)",
Kanal Hovedstaden DK,290787,kanalhovedstaden.dk,Kanal Hovedstaden DK,exact norm match,
6 Eren DK,86899,6eren.dk,6 Eren DK,"norm match (multi, chose dk)",
